timestamps,TP9,AF7,AF8,TP10,Right AUX
1711168389.114,36.621,24.414,-28.320,25.879,31.738
1711168389.118,68.848,20.996,-27.344,25.879,11.719
1711168389.122,43.945,19.043,-23.926,40.527,-24.414
1711168389.126,7.812,18.066,-19.043,47.852,-15.625
1711168389.130,41.504,20.508,-17.578,43.945,20.508
1711168389.134,92.285,23.926,-14.160,46.387,39.062
1711168389.138,76.660,30.762,-2.441,54.688,62.988
1711168389.142,41.504,25.879,-0.488,61.035,50.781
1711168389.146,63.965,16.602,-2.930,66.406,41.504
1711168389.150,110.840,23.926,-4.395,60.059,32.227
1711168389.153,103.027,26.855,-11.719,41.504,18.555
1711168389.157,44.922,20.996,-7.812,39.551,25.391
1711168389.161,35.645,20.020,-4.395,46.875,11.230
1711168389.165,88.379,19.043,-4.395,54.688,-13.184
1711168389.169,101.074,19.531,0.488,56.152,-67.383
1711168389.173,50.293,24.414,1.465,58.594,-3.418
1711168389.177,30.762,24.902,2.441,71.777,78.125
1711168389.181,75.195,15.625,1.953,71.289,18.066
1711168389.185,92.285,16.602,0.488,63.965,-5.371
1711168389.189,46.875,21.973,4.395,69.824,20.020
1711168389.193,24.902,20.020,6.836,71.777,58.594
1711168389.196,64.453,20.020,5.371,66.895,65.430
1711168389.200,108.887,18.066,6.836,55.664,2.441
1711168389.204,99.121,12.695,8.789,56.641,5.859
1711168389.208,48.340,14.648,7.324,62.012,44.922
1711168389.212,42.480,20.996,8.301,62.500,46.875
1711168389.216,95.215,25.391,10.254,58.105,24.414
1711168389.220,0.000,20.508,0.000,57.617,-1.953
1711168389.224,0.000,19.531,0.000,70.312,4.883
1711168389.228,0.000,24.902,0.000,77.148,2.441
1711168389.232,0.000,22.949,0.000,65.430,-7.324
1711168389.236,0.000,22.949,0.000,60.059,41.992
1711168389.239,0.000,22.949,0.000,68.359,41.016
1711168389.243,0.000,18.555,0.000,78.125,36.621
1711168389.247,0.000,18.555,0.000,79.590,32.227
1711168389.251,0.000,34.180,0.000,76.172,12.207
1711168389.255,0.000,39.062,0.000,82.520,8.789
1711168389.259,0.000,34.668,0.000,90.332,61.523
1711168389.263,0.000,34.668,0.000,81.055,51.758
1711168389.267,101.562,32.227,32.715,75.195,19.043
1711168389.271,95.703,34.180,28.809,77.637,54.199
1711168389.275,47.852,35.156,27.832,70.312,78.613
1711168389.279,59.082,31.738,30.273,76.660,57.129
1711168389.282,111.816,31.250,31.738,80.078,-0.977
1711168389.286,107.910,36.133,29.297,67.871,-5.859
1711168389.290,61.523,36.621,25.879,75.195,17.090
1711168389.294,48.828,36.621,34.668,86.914,11.230
1711168389.298,82.520,37.109,38.574,78.125,36.133
1711168389.302,109.863,33.691,37.598,64.941,39.062
1711168389.306,79.102,35.645,40.527,57.129,54.199
1711168389.310,45.410,40.527,38.086,70.312,83.496
1711168389.314,69.824,34.180,0.000,80.566,87.402
1711168389.318,105.957,28.809,0.000,76.172,42.480
1711168389.321,76.172,31.250,0.000,72.266,-11.230
1711168389.325,41.016,29.297,0.000,70.312,25.391
1711168389.329,51.758,29.785,0.000,64.941,109.375
1711168389.333,86.914,35.645,0.000,60.059,108.398
1711168389.337,86.426,32.227,0.000,55.664,28.809
1711168389.341,27.344,34.668,0.000,65.918,28.320
1711168389.345,27.344,37.109,0.000,74.707,40.527
1711168389.349,81.543,26.855,0.000,68.848,38.086
1711168389.353,98.633,24.414,0.000,61.035,52.734
1711168389.357,44.434,32.715,0.000,56.641,32.715
1711168389.360,0.000,34.180,38.086,54.688,37.109
1711168389.364,0.000,28.809,33.691,44.922,28.320
1711168389.368,0.000,25.879,29.785,39.551,17.090
1711168389.372,0.000,22.461,37.598,47.852,15.137
1711168389.376,0.000,17.578,44.434,56.152,9.277
1711168389.380,0.000,16.602,42.969,54.688,65.430
1711168389.384,0.000,19.531,36.133,47.852,25.391
1711168389.388,0.000,24.902,37.598,48.340,17.090
1711168389.392,0.000,20.020,39.551,46.387,34.180
1711168389.396,0.000,12.207,34.180,44.434,-1.953
1711168389.400,0.000,16.113,32.715,52.734,2.930
1711168389.403,0.000,20.020,33.691,45.898,16.113
1711168389.407,48.828,19.531,32.227,51.270,62.988
1711168389.411,41.992,21.973,34.180,46.387,32.227
1711168389.415,62.988,21.973,31.250,30.273,3.418
1711168389.419,68.359,15.625,28.320,29.785,46.387
1711168389.423,29.785,19.531,28.320,22.461,45.898
1711168389.427,4.395,29.297,24.414,27.344,18.555
1711168389.431,40.527,29.297,23.438,32.715,0.977
1711168389.435,67.383,26.855,25.879,32.227,41.016
